Front,Back,Procedure,Guide,Chapter,Tags
"Mission","The core purpose of the NYPD: enhance the quality of life in NYC by working in partnership with the community","P.G. 200",PG.,key_terms 200_general
"Vision","The aspirational goal: a safe and fair City through strategic deployment, crime prevention, quality-of-life focus, and community relationships","P.G. 200",PG.,key_terms 200_general
"Values","Four pledges: protect lives/property, fight crime, maintain integrity, value human life with courtesy and civility","P.G. 200",PG.,key_terms 200_general
"Quality of Life","A recurring theme across the mission and vision — refers to both crime reduction and addressing community concerns","P.G. 200",PG.,key_terms 200_general
"Community Partnership","The foundational approach — the NYPD works WITH the community, not just FOR or OVER it","P.G. 200",PG.,key_terms 200_general
"Strategic Deployment","Allocating resources based on data and need, central to the NYPD's vision","P.G. 200",PG.,key_terms 200_general
"Impartially","Enforcing the law without bias or favoritism — a core value","P.G. 200",PG.,key_terms 200_general
"M.V.V.","Memory aid for the three guiding statements: Mission, Vision, Values","P.G. 200",PG.,key_terms 200_general
"P.I.V.L.","Memory aid for the four pledged values: Protect/impartially enforce, Integrity (higher standard), Value human life/courtesy, Law (fight crime/prevention)","P.G. 200",PG.,key_terms 200_general
"Community Partnership","Foundational NYPD approach — work with the community, not just for or over it; central to the mission statement","P.G. 200",PG.,key_terms 200_general
"Strategic Deployment","Allocating resources based on data and need; central to the NYPD's vision statement","P.G. 200",PG.,key_terms 200_general
"Quality of Life","Recurring theme: refers to both crime reduction AND addressing community concerns","P.G. 200",PG.,key_terms 200_general
"Courtesy and Civility","A core value — members pledge to render services with courtesy; violation is a values breach","P.G. 200",PG.,key_terms 200_general
"Abbreviation","Full Term","P.G. 202",PG.,key_terms 202_duties_responsibilities
"RMP","Radio Motor Patrol","P.G. 202",PG.,key_terms 202_duties_responsibilities
"AVL","Automatic Vehicle Locator","P.G. 202",PG.,key_terms 202_duties_responsibilities
"DAS","Domain Awareness System","P.G. 202",PG.,key_terms 202_duties_responsibilities
"BWC","Body Worn Camera","P.G. 202",PG.,key_terms 202_duties_responsibilities
"CRAFT","(Supervisor Feedback Form)","P.G. 202",PG.,key_terms 202_duties_responsibilities
"CCRB","Civilian Complaint Review Board","P.G. 202",PG.,key_terms 202_duties_responsibilities
"NST","Neighborhood Safety Team","P.G. 202",PG.,key_terms 202_duties_responsibilities
"CRT","Community Response Team","P.G. 202",PG.,key_terms 202_duties_responsibilities
"ECMS","Evidence Collection and Management System","P.G. 202",PG.,key_terms 202_duties_responsibilities
"EDP","Emotionally Disturbed Person","P.G. 202",PG.,key_terms 202_duties_responsibilities
"FORMS","Field Online Reporting and Management System","P.G. 202",PG.,key_terms 202_duties_responsibilities
"CPR System","Complaint, Personnel, and Report System","P.G. 202",PG.,key_terms 202_duties_responsibilities
"IAB","Internal Affairs Bureau","P.G. 202",PG.,key_terms 202_duties_responsibilities
"ICO","Integrity Control Officer","P.G. 202",PG.,key_terms 202_duties_responsibilities
"MOS","Member of the Service","P.G. 202",PG.,key_terms 202_duties_responsibilities
"QOL","Quality of Life","P.G. 202",PG.,key_terms 202_duties_responsibilities
"XO","Executive Officer","P.G. 202",PG.,key_terms 202_duties_responsibilities
"CO","Commanding Officer","P.G. 202",PG.,key_terms 202_duties_responsibilities
"FIO","Field Intelligence Officer","P.G. 202",PG.,key_terms 202_duties_responsibilities
"A.G.","Administrative Guide","P.G. 202",PG.,key_terms 202_duties_responsibilities
"PRAA","Principal Administrative Associate","P.G. 202",PG.,key_terms 202_duties_responsibilities
"TDL","Telephone Dispatch Log","P.G. 202",PG.,key_terms 202_duties_responsibilities
"FSD","Fleet Services Division","P.G. 202",PG.,key_terms 202_duties_responsibilities
"ITB","Information Technology Bureau","P.G. 202",PG.,key_terms 202_duties_responsibilities
"FORMS-P","FORMS Property","P.G. 202",PG.,key_terms 202_duties_responsibilities
"Mnemonic","Stands For","P.G. 202",PG.,key_terms 202_duties_responsibilities
"CAT PAC","Clerk, APO (Arrest Process Officer), Telephone Switchboard Operator, Patrol Wagon Operator, Attendant, Community Guide","P.G. 202",PG.,key_terms 202_duties_responsibilities
"WEBS","Weapon, Emergency, Burglary, Serious crime","P.G. 202",PG.,key_terms 202_duties_responsibilities
"C.E.O.","Commanding Officer, Executive Officer, Operations Coordinator","P.G. 202",PG.,key_terms 202_duties_responsibilities
"I.A.D.I.E.","Identify, Analyze, Design, Implement, Evaluate","P.G. 202",PG.,key_terms 202_duties_responsibilities
"Role","Procedure","P.G. 202",PG.,key_terms 202_duties_responsibilities
"Desk Officer","P.G. 202-18","P.G. 202",PG.,key_terms 202_duties_responsibilities
"Patrol Supervisor","P.G. 202-19","P.G. 202",PG.,key_terms 202_duties_responsibilities
"Platoon Commander","P.G. 202-26","P.G. 202",PG.,key_terms 202_duties_responsibilities
"Special Operations Lieutenant","P.G. 202-27","P.G. 202",PG.,key_terms 202_duties_responsibilities
"Integrity Control Officer (ICO)","P.G. 202-29","P.G. 202",PG.,key_terms 202_duties_responsibilities
"Operations Coordinator","P.G. 202-28","P.G. 202",PG.,key_terms 202_duties_responsibilities
"NST Supervisor","P.G. 202-20","P.G. 202",PG.,key_terms 202_duties_responsibilities
"CRT Supervisor","P.G. 202-36","P.G. 202",PG.,key_terms 202_duties_responsibilities
"QOL Sergeant","P.G. 202-39","P.G. 202",PG.,key_terms 202_duties_responsibilities
"Training Sergeant","P.G. 202-21","P.G. 202",PG.,key_terms 202_duties_responsibilities
"Field Intelligence Sergeant","P.G. 202-25","P.G. 202",PG.,key_terms 202_duties_responsibilities
"Shall","Mandatory — MUST be done","P.G. 202",PG.,key_terms 202_duties_responsibilities
"Must","Mandatory — same force as ""shall""","P.G. 202",PG.,key_terms 202_duties_responsibilities
"Ensure","Supervisory mandate — the supervisor is accountable for the outcome","P.G. 202",PG.,key_terms 202_duties_responsibilities
"May","Discretionary — permitted but not required","P.G. 202",PG.,key_terms 202_duties_responsibilities
"Should","Recommended — expected but with some flexibility","P.G. 202",PG.,key_terms 202_duties_responsibilities
"Complaint","Allegation of an unlawful or improper act or omission, OR other condition requiring investigation to determine if an unlawful act or omission occurred","P.G. 207",PG.,key_terms 207_complaints
"Pick-Up Arrest","An arrest for an offense or juvenile delinquency NOT previously reported","P.G. 207",PG.,key_terms 207_complaints
"Continuous Event","Offense or multiple offenses committed against a complainant; an ongoing situation occurring in different precincts and/or boroughs","P.G. 207",PG.,key_terms 207_complaints
"Incident","Event where one or more criminal offenses were committed against one or more victims by one or more offenders","P.G. 207",PG.,key_terms 207_complaints
"Offense","A single criminal act within an incident; up to 10 may be recorded per incident","P.G. 207",PG.,key_terms 207_complaints
"Active Case","A case with leads still being pursued or investigative steps remaining","P.G. 207",PG.,key_terms 207_complaints
"Closed Case","A case where all reasonable investigative steps have been completed","P.G. 207",PG.,key_terms 207_complaints
"Unfounded Case","Investigation determines that no offense actually occurred (report was properly prepared)","P.G. 207",PG.,key_terms 207_complaints
"Voided","The report should NOT have been prepared in the first place (procedural error)","P.G. 207",PG.,key_terms 207_complaints
"Unfounded","The report was properly prepared, but no offense actually occurred (investigative finding)","P.G. 207",PG.,key_terms 207_complaints
"Bias Incident","An offense motivated by bias based on race, religion, ethnicity, gender, age, disability, or sexual orientation (including LGBTQIA+)","P.G. 207",PG.,key_terms 207_complaints
"Disability","A physical, mental, or medical impairment that substantially limits major life activities","P.G. 207",PG.,key_terms 207_complaints
"Vulnerable Senior","A person 65+ with dementia (Alzheimer's or similar), missing under circumstances indicating imminent danger","P.G. 207",PG.,key_terms 207_complaints
"Silver Alert","Alert system for missing vulnerable seniors; may also apply to under-65 with dementia per Detective Zone CO","P.G. 207",PG.,key_terms 207_complaints
"Blue Alert","Alert system activated when a law enforcement officer is killed, seriously injured, or missing in the line of duty and the suspect is at large","P.G. 207",PG.,key_terms 207_complaints
